ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
31,2014, New Jersey ,6609,1909,4130,570,6707844,1635068,4499048,573728
32,2014, New Mexico ,3951,1461,2217,273,1704528,624058,977564,102906
33,2014, New York ,17456,6397,9070,1989,12760066,3437169,7745112,1577784
34,2014, North Carolina ,18117,8003,7917,2187,9134125,4346347,3804882,972966
35,2014, North Dakota ,4429,2314,1603,512,1229050,689169,474944,64936
36,2014, Ohio ,26986,14548,10370,2017,13416336,6549278,5995019,739901
37,2014, Oklahoma ,23147,10696,9009,3440,8288085,4032965,3414629,840027
38,2014, Oregon ,8052,3247,4399,403,4946691,1270354,3479227,196735
39,2014, Pennsylvania ,22691,6185,11532,4969,12293187,3339216,7384232,1568796
40,2014, Rhode Island ,766,138,455,173,782360,134672,485632,162056
41,2014, South Carolina ,9338,4245,4216,877,6732731,3208579,3044815,479337
42,2014, South Dakota ,5872,1907,2897,1068,1665814,412829,1071793,181192
43,2014, Tennessee ,20077,9925,9147,1002,9521993,4137015,4920899,463798
44,2014, Texas ,52937,28058,23804,812,45630872,24038233,20327749,673532
45,2014, Utah ,3014,1745,1177,92,1910929,1092271,790796,27862
46,2014, Vermont ,2745,1396,1217,132,848689,425441,377969,45279
47,2014, Virginia ,13800,4783,7984,1033,9396738,3368841,5565760,462137
48,2014, Washington ,8120,4324,3443,353,6855656,2734579,3581916,539161
49,2014, West Virginia ,7187,3372,2893,922,3763593,1508423,1978347,276823
50,2014, Wisconsin ,14109,7587,5479,1043,6513933,3302774,2938919,272240
51,2014, Wyoming ,3127,711,2020,396,1253803,148883,911391,193529
52,2014, Puerto Rico ,2304,438,1591,274,2212243,528342,1435717,248046
53,2014, Totals ,610749,287701,269734,52905,365542771,163416898,176609648,24626117
1,2015, Alabama ,16095,7143,8200,752,9157354,3715478,5185986,255889
2,2015, Alaska ,1493,664,681,146,701780,291433,343099,67100
3,2015, Arizona ,8056,4857,2988,211,5048302,2514426,2354646,179230
4,2015, Arkansas ,12853,7013,5230,610,6292176,3111876,2749519,430780
5,2015, California ,25318,13327,10134,1857,29280043,13418116,13277457,2584470
6,2015, Colorado ,8624,3913,4240,469,4846508,2531025,2077659,237654
7,2015, Connecticut ,4225,1310,2562,353,3273496,628996,2159299,485201
8,2015, Delaware ,875,269,559,47,977807,166838,757768,53202
9,2015, Dist. Of Col. ,254,69,175,10,577714,90161,459454,28099
10,2015, Florida ,12198,8522,3445,230,16476730,11140691,4962158,372716
11,2015, Georgia ,14790,7200,7026,564,9271797,4818815,4218375,234606
12,2015, Hawaii ,1142,486,591,59,1391813,403646,904894,19697
13,2015, Idaho ,4369,1199,2827,343,1703500,415003,1174420,114076
14,2015, Illinois ,26674,14440,10087,2147,12964107,5292312,6371232,1300563
15,2015, Indiana ,19145,7812,9698,1633,7907773,3437463,3947774,521565
16,2015, Iowa ,24242,9313,10203,4719,8261257,3701152,3698082,861477
17,2015, Kansas ,25047,14006,9480,1561,8163860,5468518,2433156,262186
18,2015, Kentucky ,14261,5580,7606,1074,6006749,2405438,3312943,287833
19,2015, Louisiana ,13012,6720,4628,1658,16491008,7995282,6977665,1516326
20,2015, Maine ,2431,761,1319,348,1201978,456717,640722,103420
21,2015, Maryland ,5313,1815,3205,293,5145524,1497542,3478661,169322
22,2015, Massachusetts ,5167,1478,3239,450,4074515,948294,2536978,589243
23,2015, Michigan ,11086,4689,5125,1264,6299975,2349419,3369901,577370
24,2015, Minnesota ,13301,8418,4091,785,6439750,3669936,2457240,287075
25,2015, Mississippi ,17057,11174,4339,1541,9005756,5971264,2614291,419937
26,2015, Missouri ,24398,11161,11170,2067,10344443,4648105,4817989,878350
27,2015, Montana ,5243,1989,2951,303,1993348,617790,1231562,143996
28,2015, Nebraska ,15341,7843,5909,1580,3966620,2324267,1401229,240145
29,2015, Nevada ,1919,1021,868,30,1587135,842957,715449,28730
30,2015, New Hampshire ,2470,1323,896,251,1111928,637923,377455,96550
31,2015, New Jersey ,6686,1959,4178,549,6828807,1723032,4588837,516938
32,2015, New Mexico ,3960,1482,2219,259,1712846,652883,964369,95594
33,2015, New York ,17461,6321,9176,1964,12793389,3314582,7940857,1537950
34,2015, North Carolina ,18124,7883,8159,2073,9182506,4263238,3998186,912516
35,2015, North Dakota ,4401,2286,1587,528,1231504,691800,466280,73423
36,2015, Ohio ,27104,15048,10184,1869,13259754,7024661,5600019,634724
37,2015, Oklahoma ,23049,10858,9083,3105,8329640,4104101,3497128,725077
38,2015, Oregon ,8037,3131,4516,387,4941720,1194127,3568276,178944
39,2015, Pennsylvania ,22783,6376,11705,4701,12377161,3428365,7488071,1460197
40,2015, Rhode Island ,766,134,456,176,783257,130955,489159,163144
41,2015, South Carolina ,9344,4250,4238,856,6756879,3204437,3097811,454631
42,2015, South Dakota ,5866,1901,2899,1066,1666296,414646,1073485,178164
43,2015, Tennessee ,20106,9925,9230,949,9603418,4263349,4847285,492564
44,2015, Texas ,53209,28172,24309,728,46419429,24589349,21237525,592555
45,2015, Utah ,3019,1751,1181,87,1918571,1081803,811343,25426
46,2015, Vermont ,2749,1442,1197,110,850422,427452,385916,37054
47,2015, Virginia ,13884,4819,8067,998,9482233,3359452,5661329,461453
48,2015, Washington ,8158,4318,3486,354,6892943,2786201,3557639,549103
49,2015, West Virginia ,7215,3090,3066,1059,3708364,1298773,2070526,339065
50,2015, Wisconsin ,14134,7330,5672,1132,6583404,3283087,3014933,285384
51,2015, Wyoming ,3085,723,2018,344,1260921,153323,938004,169594
52,2015, Puerto Rico ,2306,444,1592,268,2560879,882117,1454703,223832
53,2015, Totals ,611845,289158,271690,50917,369109088,167782612,177758745,23454139
